V,k,W,algo,E,time_mean_ms,time_std_ms,correct,push_count,pop_count,skip_count,skip_ratio,bucket_scans,nonempty_bucket_scans,speedup
10000,8,100,heapq,49995,5.95169,1.25424,true,19486,19486,9486,0.486811,,,,1.0
10000,8,100,dial,49995,1.6056,0.471519,true,19484,19313,9313,0.482214,186,162,3.70683
10000,8,500,heapq,49995,4.87376,0.431072,true,19812,19812,9812,0.495255,,,,1.0
10000,8,500,dial,49995,1.19056,0.186843,true,19797,19554,9554,0.488596,901,701,4.09367
10000,8,1000,heapq,49995,4.38403,0.264292,true,19834,19834,9834,0.495815,,,,1.0
10000,8,1000,dial,49995,1.53782,0.209895,true,19835,19587,9587,0.489457,1794,1321,2.85082
10000,8,5000,heapq,49995,4.28482,0.226228,true,19863,19863,9863,0.496551,,,,1.0
10000,8,5000,dial,49995,5.38441,1.06124,true,19858,19611,9611,0.490082,8952,5366,0.795782
10000,8,10000,heapq,49995,3.74233,0.12881,true,19865,19865,9865,0.496602,,,,1.0
10000,8,10000,dial,49995,5.64074,1.55251,true,19866,19619,9619,0.49029,17898,8715,0.663446
10000,32,100,heapq,169983,8.11386,0.877877,true,30024,30024,20024,0.666933,,,,1.0
10000,32,100,dial,169983,3.2975,0.401329,true,29998,20342,10342,0.508406,58,55,2.46061
10000,32,500,heapq,169983,8.06984,0.268547,true,31091,31091,21091,0.678364,,,,1.0
10000,32,500,dial,169983,3.82923,0.594289,true,31086,20815,10815,0.519577,264,232,2.10743
10000,32,1000,heapq,169983,8.72695,0.97834,true,31175,31175,21175,0.67923,,,,1.0
10000,32,1000,dial,169983,3.26498,0.240254,true,31192,20865,10865,0.520728,522,438,2.6729
10000,32,5000,heapq,169983,7.29015,0.070331,true,31265,31265,21265,0.680154,,,,1.0
10000,32,5000,dial,169983,4.84931,0.906271,true,31263,20887,10887,0.521233,2580,1943,1.50334
10000,32,10000,heapq,169983,7.39091,0.233469,true,31290,31290,21290,0.680409,,,,1.0
10000,32,10000,dial,169983,6.88097,1.6234,true,31297,20910,10910,0.52176,5155,3649,1.07411
10000,64,100,heapq,329972,11.5071,1.68861,true,35003,35003,25003,0.71431,,,,1.0
10000,64,100,dial,329972,4.59041,0.187548,true,35037,20596,10596,0.514469,35,35,2.50677
10000,64,500,heapq,329972,10.8865,0.673406,true,37022,37022,27022,0.72989,,,,1.0
10000,64,500,dial,329972,5.34346,0.607653,true,37010,21496,11496,0.534797,150,134,2.03735
10000,64,1000,heapq,329972,11.2278,0.768251,true,37329,37329,27329,0.732112,,,,1.0
10000,64,1000,dial,329972,5.56722,0.359501,true,37365,21791,11791,0.541095,295,257,2.01677
10000,64,5000,heapq,329972,10.6817,0.682673,true,37650,37650,27650,0.734396,,,,1.0
10000,64,5000,dial,329972,7.58335,1.12689,true,37647,21986,11986,0.545165,1453,1159,1.40858
10000,64,10000,heapq,329971,10.1197,0.509493,true,37745,37745,27745,0.735064,,,,1.0
10000,64,10000,dial,329971,9.68256,1.24498,true,37743,22346,12346,0.552493,2986,2269,1.04515
