V,k,mean,std,min,max,cv_pct,n_obs
1000,4,0.3124,0.0082,0.2913,0.328,2.64,100
1000,8,0.4665,0.008,0.4478,0.4843,1.71,100
1000,16,0.5827,0.006,0.5703,0.6052,1.03,100
1000,32,0.6628,0.0038,0.6535,0.6717,0.57,100
1000,64,0.7134,0.0035,0.7055,0.7209,0.49,100
1000,128,0.7457,0.0033,0.7362,0.7527,0.45,100
3000,4,0.3118,0.0057,0.2956,0.3246,1.84,100
3000,8,0.466,0.0041,0.4548,0.4752,0.88,100
3000,16,0.584,0.003,0.5765,0.5906,0.51,100
3000,32,0.662,0.0031,0.6543,0.6683,0.46,100
3000,64,0.7133,0.002,0.7071,0.7179,0.28,100
3000,128,0.7472,0.002,0.7394,0.7531,0.27,100
10000,4,0.3129,0.0026,0.3056,0.3185,0.83,100
10000,8,0.4676,0.0022,0.4614,0.474,0.48,100
10000,16,0.5842,0.0018,0.5794,0.5888,0.31,100
10000,32,0.6625,0.0016,0.6582,0.6663,0.25,100
10000,64,0.7139,0.0013,0.7103,0.718,0.18,100
10000,128,0.7468,0.0011,0.7442,0.7493,0.14,100
